intensitywo	intensity00	intensity030	intensity060	intensity090	intensity300	intensity3030	intensity3060	intensity3090	intensity600	intensity6030	intensity6060	intensity6090	intensity900	intensity9030	intensity9060	intensity9090
4.4	8.4	9.2	7.6	4.8	4.8	8	8.8	7.2	3.2	4.8	8	9.2	4.4	3.2	5.2	8
4.4	8.4	8.8	7.6	4.8	4.8	8	8.8	7.2	3.2	4.8	8	8.8	4.4	3.2	5.2	8
4.4	7.6	8.4	7.2	4.4	4.8	7.2	8	6.8	2.8	4.4	7.2	8.4	4.4	3.2	5.2	7.6
4.4	7.2	7.6	6.8	4.4	4.4	6.8	7.2	6.4	2.8	4.4	6.8	7.6	4.4	3.2	5.2	7.2
4.4	6.4	7.2	6	4.4	4	6	6.4	5.6	2.8	4	6	6.8	4	3.2	4.8	6.8
4.8	6	6.4	5.6	4	4	5.2	5.6	4.8	2.8	3.6	5.6	6	3.6	3.2	4.4	6
5.2	5.2	5.6	5.2	3.6	3.6	4.4	4.8	4.4	2.8	3.2	4.8	5.2	3.6	3.2	4	5.6
5.6	4.8	5.2	4.8	3.6	3.6	4	4.4	4	2.8	3.2	4.4	4.8	3.6	3.2	3.6	4.8
6.4	4.4	4.4	4.4	3.6	3.2	3.6	3.6	3.6	2.8	2.8	4	4	3.2	3.2	3.6	4.4
7.6	4	4	4	3.6	3.2	3.2	3.2	3.2	2.8	2.8	3.6	3.6	3.2	3.2	3.6	4
9.2	3.6	3.6	3.6	3.6	3.2	3.2	3.2	2.8	2.8	2.8	3.2	3.2	3.2	3.2	3.6	3.6
10.8	3.6	3.6	3.6	3.6	3.2	3.2	3.2	2.8	3.2	2.8	3.2	3.2	3.6	3.6	3.6	3.6
12.8	3.6	3.2	3.6	3.6	3.6	3.2	3.2	3.2	3.6	3.2	3.2	2.8	3.6	3.6	3.6	3.2
14.4	3.6	3.2	4	4.4	4	3.2	2.8	3.6	4.4	3.6	3.2	2.8	4	4.4	4	3.2
16	4	3.2	4	4.8	4.4	3.2	2.8	3.6	5.2	4.4	3.2	2.8	4.8	5.2	4.8	3.6
17.2	4	3.2	4	5.6	5.2	3.6	2.8	3.6	6.4	5.2	3.6	2.8	5.6	6.4	5.6	3.6
17.2	4	3.2	4.4	6	5.6	3.6	2.8	3.6	7.2	5.6	3.6	2.8	6.4	7.2	6	3.6
16.8	4	3.2	4.4	6.8	6	3.6	2.8	4	8	6	4	2.8	6.8	7.6	6.4	4
15.6	4	3.2	4.4	7.2	6.4	4	2.8	4.4	8.4	6.4	4	2.8	7.2	8	6.4	4
14.4	4.4	3.2	4.4	7.2	6.4	4	2.8	4.8	8.4	6.4	4	2.8	7.2	8	6.4	4
12.8	4.4	3.2	4.4	6.8	6.4	4.4	2.8	4.4	8	6	4	2.8	6.8	8	6.4	4
11.2	4.4	3.2	4.4	6.4	6	4	2.8	4.4	7.2	5.6	4	2.8	6.8	7.2	6	4
10	4.4	3.2	4.4	6	5.6	4	2.8	4	6.8	5.2	4	2.8	6.4	6.8	5.6	4
8.8	4.4	3.2	4.4	5.6	5.2	3.6	2.8	4	6	4.8	3.6	2.8	6	6	5.2	4
7.6	4	3.6	4	5.2	4.4	3.6	2.8	3.6	5.2	4.4	3.6	2.8	5.2	5.6	5.2	4
6.8	4	3.6	4	4.8	4	3.6	3.2	3.6	4.8	4	3.6	3.2	4.8	5.2	4.8	4
6	4	3.6	4	4.4	3.6	3.6	3.2	3.6	4.4	3.6	3.6	3.2	4.4	4.8	4.8	4
5.6	4	4	4	4.4	3.6	3.6	3.6	3.6	4	3.6	3.6	3.6	4	4.4	4.4	4
5.2	4	4	4	4.4	3.6	3.6	4	4	3.6	3.6	3.6	3.6	3.6	4	4.4	4
4.8	4.4	4.4	4.4	4.4	3.6	4	4.4	4.4	3.6	3.6	4	4	3.6	4	4.4	4
4.8	4.8	4.8	4.8	4.4	3.6	4.4	4.8	4.8	3.2	3.6	4.4	4.4	3.6	3.6	4.4	4.4
4.4	5.2	5.6	5.2	4.4	3.6	4.8	5.6	5.2	3.2	4	5.2	5.2	3.6	3.6	4.8	5.2
4.4	5.6	6	5.6	4.4	4	5.6	6	5.6	3.2	4	5.6	6	3.6	3.6	4.8	6
4.4	6.4	6.8	6.4	4.4	4.4	6	6.8	6	3.2	4.4	6.4	6.8	4	3.6	5.2	6.8
4.4	6.8	7.6	6.8	4.4	4.4	6.4	7.2	6	3.2	4.4	6.8	7.6	4	3.6	5.2	7.2
4.4	7.2	8.4	6.8	4.4	4.8	6.8	7.6	6.4	3.2	4.8	7.2	8	4	3.6	5.2	7.2
4.4	7.2	8.4	6.8	4.4	4.8	7.2	7.6	6.4	3.2	4.8	6.8	8	4	3.2	5.2	7.2
4.4	7.2	8.4	6.8	4.4	4.8	6.8	7.6	6.4	3.2	4.4	6.8	8	4	3.2	5.2	7.2
4.4	6.8	7.6	6.4	4.4	4.4	6.4	6.8	6	3.2	4	6.4	7.2	4	3.2	4.8	6.8
4.8	6.4	6.8	6	4	4	6	6	5.6	3.2	4	6	6.4	4	3.2	4.4	6.4
5.2	6	6	5.6	3.6	3.6	5.2	5.2	4.8	3.2	3.6	5.2	5.6	3.6	3.2	4.4	6
5.6	5.2	5.6	4.8	3.6	3.6	4.8	4.8	4.4	3.2	3.2	4.8	4.8	3.6	3.2	4	5.2
6.4	4.8	4.8	4.4	3.6	3.2	4.4	4.4	4	2.8	3.2	4.4	4.4	3.2	3.2	3.6	4.4
7.6	4.4	4.4	4	3.6	3.2	4	4	3.6	2.8	3.2	4	4	3.2	3.2	3.6	4
9.2	4	4	4	3.2	3.2	3.6	3.6	3.2	2.8	3.2	3.6	3.6	3.2	3.2	3.6	3.6
11.2	3.6	3.6	4	3.2	3.2	3.2	3.2	3.2	3.2	3.2	3.2	3.2	3.2	3.2	3.6	3.2
13.2	3.6	3.2	4	3.6	3.2	3.2	3.2	3.2	3.2	3.2	3.2	2.8	3.2	3.6	3.6	3.2
14.4	3.6	3.2	4	4	3.6	3.2	3.2	3.2	3.6	3.6	3.2	2.8	3.6	4	4	3.2
15.2	3.6	3.2	4	4.4	4.4	3.2	2.8	3.6	4.4	4	3.2	2.8	4.4	4.8	4.4	3.2
15.6	3.6	3.2	4	5.2	4.8	3.6	2.8	3.6	5.2	4.4	3.6	2.8	5.2	5.6	5.2	3.6
15.2	4	3.2	4	5.6	5.2	3.6	2.8	3.6	6.4	5.2	3.6	2.8	6	6.4	5.6	3.6
14.4	4	3.2	4.4	6	5.6	3.6	2.8	4	7.2	5.6	3.6	2.8	6.4	7.2	6	3.6
13.2	4	3.2	4.4	6.4	5.6	3.6	2.8	4	7.6	6	3.6	2.8	6.4	7.2	6	3.6
11.6	4.4	3.2	4.8	6.8	6.4	4	3.2	4.4	8.4	6	4	3.2	6.8	7.6	6	4
10	4.4	3.2	4.8	6.4	6	4	2.8	4.4	8	5.6	4	3.2	6.4	7.2	5.6	4
8.8	4.4	3.2	4.8	6	5.6	4	2.8	4.4	7.2	5.2	4	3.2	6	6.8	5.6	4
8	4	3.2	4.4	5.6	5.2	3.6	2.8	4	6.4	4.8	3.6	3.2	5.6	6.4	5.2	4
7.2	4	3.2	4	5.2	4.8	3.6	2.8	4	5.6	4.4	3.6	3.2	5.2	6	5.2	4
6.4	4	3.2	4	4.8	4.4	3.2	2.8	3.6	4.8	4.4	3.6	3.2	4.8	5.2	4.8	4
6	4	3.6	4	4.4	4	3.2	3.2	3.6	4.4	4	3.6	3.2	4.4	4.8	4.4	4
5.2	4	4	4	4	3.6	3.2	3.6	3.6	4	3.6	3.6	3.2	4	4.4	4	4
4.8	4	4	4	4	3.6	3.6	4	3.6	4	3.6	3.6	3.6	3.6	4	4	4
4.8	4	4.4	4	3.6	3.6	3.6	4.4	4	3.6	3.6	4	4	3.6	3.6	4	4
4.4	4.4	4.8	4.4	3.6	3.6	4	4.8	4.4	3.6	3.6	4.4	4.4	3.6	3.2	4	4.4
4	4.8	5.2	4.8	3.6	3.6	4.4	5.2	4.8	3.2	3.6	4.8	4.8	3.6	3.2	4	4.8
4	5.2	5.6	5.2	4	3.6	5.2	5.6	5.2	3.2	4	5.2	5.6	3.6	3.2	4.4	5.6
4	5.6	6.4	5.6	4	3.6	5.6	6	5.2	3.2	4	5.6	6	3.6	3.2	4.4	6
4	6	7.2	6	4	4	6	6.4	5.6	3.2	4	6	6.8	3.6	3.2	4.4	6.4
4	6.4	7.6	6	4	4	6.4	6.8	6	3.2	4	6.4	7.2	3.6	2.8	4.4	6.4
4.4	6.8	7.6	6.4	4	4	6.4	7.2	6	3.2	4	6.4	7.2	3.6	2.8	4.4	6.4
4.4	6.8	7.2	6	4	4	6.4	6.8	5.6	3.2	4	6	6.8	3.6	2.8	4.4	6.4
4.8	6.4	6.8	5.6	4	4	5.6	6	5.2	3.2	4	5.6	6.4	3.6	2.8	4.4	6
5.2	6	6	5.2	3.6	3.6	4.8	5.2	4.8	2.8	3.6	5.2	6	3.6	2.8	4	5.6
6	5.6	5.6	4.8	3.6	3.6	4.4	4.8	4.4	2.8	3.6	4.8	5.2	3.6	2.8	4	5.2
6.8	4.8	4.8	4.4	3.2	3.2	3.6	4	4	2.8	3.2	4.4	4.4	3.2	2.8	3.6	4.4
8.4	4.4	4.4	4	3.2	3.2	3.6	3.6	3.6	2.8	3.2	3.6	4	3.2	2.8	3.6	4
10	4	4	3.6	3.2	3.2	3.2	3.2	3.2	2.8	3.2	3.2	3.6	3.2	2.8	3.6	3.6
11.6	3.6	3.6	3.6	3.2	3.2	3.2	3.2	3.2	2.8	3.2	3.2	3.2	3.2	3.2	3.6	3.2
12.8	3.2	3.6	3.6	3.6	3.2	3.2	2.8	3.2	3.2	3.2	3.2	2.8	3.2	3.6	3.6	3.2
14	3.2	3.2	3.6	4	3.6	3.2	2.8	3.2	4	3.6	3.2	2.8	4	4	4	3.2
14.4	3.2	3.2	3.6	4.4	4	3.2	2.8	3.2	4.8	4	3.2	2.8	4.4	4.8	4.4	3.2
14	3.6	3.2	4	4.8	4.4	3.2	2.8	3.6	5.6	4.4	3.6	2.8	5.2	5.6	4.8	3.6
13.2	3.6	3.2	4	5.2	4.8	3.6	2.8	3.6	6	4.8	3.6	2.8	5.6	6	5.2	3.6
12	4	3.2	4.4	5.6	5.2	3.6	2.8	4	6.8	5.2	3.6	2.8	6	6.4	5.6	3.6
10.8	4	3.2	4.4	6	5.6	3.6	2.8	4	7.2	5.2	3.6	2.8	6	6.4	5.6	3.6
9.6	4	3.2	4.4	6	5.6	3.6	2.8	4	7.2	5.2	3.6	2.8	6	6.4	5.6	3.6
8	4	3.2	4.4	5.6	5.2	3.6	2.8	4	6.4	5.2	3.6	2.8	6	6.4	5.2	3.6
7.2	4	3.2	4	5.2	4.8	3.6	2.8	4	6	4.8	3.6	2.8	5.6	6	5.2	3.6
6.4	3.6	3.2	4	4.8	4.4	3.2	2.8	3.6	5.2	4.4	3.6	2.8	5.2	5.6	5.2	3.6
6	3.6	3.2	4	4.4	4	3.2	2.8	3.6	4.8	4	3.6	2.8	4.8	5.2	4.8	3.6
5.2	3.6	3.2	4	4	3.6	3.2	2.8	3.6	4.4	3.6	3.6	3.2	4.4	4.4	4.4	3.6
4.8	3.6	3.6	4	4	3.6	3.2	3.2	3.6	4	3.6	3.6	3.6	4	4	4.4	3.6
4.4	3.6	4	4	3.6	3.6	3.6	3.6	3.6	3.6	3.6	3.6	3.6	3.6	3.6	4	3.6
4.4	4	4.4	4	3.6	3.6	4	4.4	4	3.6	3.6	4	4	3.6	3.6	4	4
4	4	4.8	4.4	3.6	3.6	4.4	4.8	4.4	3.2	3.6	4.4	4.4	3.6	3.2	4	4.4
4	4.8	5.6	4.8	4	3.6	4.8	5.2	4.8	3.2	3.6	4.8	5.2	3.6	3.2	4	4.8
4	5.2	6	5.6	4	3.6	5.2	5.6	4.8	3.2	3.6	5.2	6	3.6	3.2	4.4	5.6
4	6	6.4	6	4	3.6	5.6	6	5.2	3.2	4	6	6.8	3.6	3.2	4.8	6
4	6.4	6.8	6	4	4	6	6.4	5.2	3.2	4	6	7.2	3.6	2.8	4.4	6
4.4	6.4	6.8	6	4	4	6	6.4	5.6	3.2	4	6	7.2	3.6	2.8	4.4	6
4.4	6	6.8	6	4	4	5.6	6	5.6	3.2	4	6	6.8	3.6	2.8	4.4	6
4.8	5.6	6.4	5.6	3.6	4	5.2	5.6	5.2	3.2	4	5.6	6.4	3.6	2.8	4.4	5.6
5.2	5.2	6	5.2	3.6	3.6	4.8	4.8	4.4	2.8	3.6	5.2	5.6	3.6	2.8	4	5.2
6.4	4.8	5.2	4.8	3.6	3.2	4.4	4.4	4	2.8	3.2	4.4	4.8	3.6	2.8	3.6	4.8
8	4.4	4.8	4.4	3.2	3.2	3.6	3.6	3.6	2.8	3.2	4	4.4	3.2	2.8	3.2	4.4
9.6	4	4	4	3.2	3.2	3.2	3.2	3.2	2.8	2.8	3.6	3.6	3.2	2.8	3.2	4
11.2	3.6	3.6	3.6	3.2	2.8	3.2	2.8	2.8	2.8	2.8	3.2	3.2	3.2	2.8	3.2	3.6
12.4	3.6	3.2	3.6	3.2	2.8	3.2	2.8	2.8	2.8	2.8	3.2	2.8	3.2	3.2	3.2	3.2
12.8	3.6	3.2	3.6	3.6	3.2	3.2	2.8	2.8	3.2	3.2	3.2	2.8	3.2	3.6	3.6	3.2
13.2	3.6	3.2	3.6	4	3.6	3.2	2.8	3.2	3.6	3.6	3.2	2.8	3.6	4.4	4	3.2
12.8	3.6	3.2	3.6	4.4	4	3.2	2.8	3.2	4.4	4	3.2	2.8	4.4	4.8	4.4	3.2
12	3.6	3.2	4	4.8	4.4	3.2	2.8	3.6	5.2	4.4	3.2	2.8	5.2	5.6	4.8	3.6
10.8	4	3.2	4	5.2	4.8	3.2	2.8	3.6	6	4.8	3.6	2.8	5.6	6	5.2	3.6
9.6	4	3.2	4	5.6	5.2	3.6	2.8	3.6	6.4	5.2	3.6	2.8	6	6	5.2	3.6
8.4	4	3.2	4	5.6	5.2	3.6	2.8	3.6	6.4	5.2	3.6	2.8	5.6	6	5.2	3.6
7.2	4	3.2	4	5.6	5.2	3.6	2.8	3.6	6.4	5.2	3.6	2.8	5.6	6	5.2	3.6
6.4	4	3.2	4	5.2	4.8	3.2	2.8	3.6	5.6	4.8	3.6	2.8	5.2	5.6	4.8	3.6
5.2	4	3.6	4	4.4	4.4	3.6	2.8	3.6	4.8	4.4	3.6	3.2	4.8	5.2	4.8	3.6
4.8	4	3.6	4	4.4	4	3.6	2.8	3.6	4.4	4	3.2	3.2	4.4	4.8	4.4	3.6
4.4	4	3.6	4	4.4	3.6	3.6	3.2	3.6	4	3.6	3.2	3.2	4	4.4	4	3.6
4	4	3.6	4	4	3.6	3.6	3.6	3.6	3.6	3.2	3.2	3.2	3.6	4	4	3.6
4	4	4	4	4	3.6	3.6	3.6	3.6	3.6	3.2	3.6	3.6	3.6	3.6	4	3.6
4	4	4.4	4	3.6	3.6	4	4	4	3.2	3.2	4	3.6	3.6	3.2	4	4
4	4.4	4.8	4.4	3.6	3.6	4.4	4.8	4.4	3.2	3.6	4.4	4.4	3.6	3.2	4	4.4
4	4.8	5.2	4.8	3.6	3.6	4.8	4.8	4.8	3.2	3.6	4.8	5.2	3.6	3.2	4	4.8
4	5.2	5.6	5.2	3.6	3.6	5.2	5.2	4.8	2.8	3.6	5.2	5.6	3.6	3.2	4.4	5.2
4	5.6	6	5.6	3.6	3.6	5.2	5.6	4.8	2.8	3.6	5.6	6	3.6	2.8	4.4	5.6
4.4	6	6.4	5.6	3.6	3.6	5.6	6	5.2	2.8	3.6	5.6	6.4	3.6	2.8	4.4	5.6
4.4	6	6.4	5.6	3.6	3.6	5.6	6	5.2	2.8	3.6	5.6	6.4	3.6	2.8	4.4	5.6
4.8	5.6	6	5.6	3.6	3.6	5.2	5.6	5.2	2.8	3.6	5.2	6	3.6	2.8	4.4	5.6
5.6	5.2	5.6	5.2	3.2	3.2	4.8	5.2	4.4	2.8	3.6	4.8	5.2	3.6	2.8	4	5.2
6.8	4.8	5.2	4.8	3.2	3.2	4.4	4.4	4	2.8	3.2	4.4	4.8	3.6	2.8	3.6	4.8
8	4.4	4.8	4.4	3.2	3.2	4	3.6	3.6	2.8	2.8	3.6	4.4	3.2	2.8	3.6	4.4
9.6	4	4	4	3.2	2.8	3.6	3.2	3.2	2.8	2.8	3.2	3.6	3.2	2.8	3.2	4
10.8	3.6	3.6	4	3.2	2.8	3.2	2.8	2.8	2.8	2.8	2.8	3.2	3.2	2.8	3.2	3.6
11.6	3.6	3.6	3.6	3.2	2.8	3.2	2.8	2.8	2.8	2.8	2.8	3.2	3.2	3.2	3.2	3.2
11.6	3.2	3.2	3.2	3.2	3.2	3.2	2.8	2.8	3.2	2.8	2.8	2.8	3.6	3.6	3.6	3.2
11.6	3.2	3.2	3.2	3.6	3.6	3.2	2.8	3.2	4	3.2	2.8	2.8	4	4.4	4	3.2
11.2	3.2	3.2	3.2	4.4	4	3.2	2.8	3.2	4.4	3.6	2.8	2.8	4.4	4.8	4.4	3.2
10.4	3.2	3.2	3.6	4.8	4.4	3.2	2.8	3.2	5.2	4.4	2.8	2.8	4.8	5.6	4.8	3.2
9.2	3.6	3.2	3.6	5.2	4.8	3.2	2.8	3.2	5.6	4.8	3.2	2.8	5.2	5.6	4.8	3.2
8	3.6	3.2	3.6	5.2	4.8	3.2	2.8	3.6	6	4.8	3.2	2.8	5.2	5.6	4.8	3.6
6.8	3.6	3.2	3.6	5.2	4.8	3.2	2.8	3.6	6	4.8	3.2	2.8	5.2	5.6	4.8	3.6
6	3.6	3.2	3.6	5.2	4.8	3.2	2.8	3.6	5.6	4.4	3.2	2.8	5.2	5.2	4.8	3.6
5.2	3.6	3.2	3.6	4.8	4.4	3.2	2.8	3.6	5.2	4.4	3.2	2.8	4.8	5.2	4.8	3.6
4.8	3.6	3.2	3.6	4.4	4	3.2	2.8	3.6	4.8	4.4	3.2	2.8	4.4	5.2	4.4	3.6
4.4	3.6	3.2	3.6	4	3.6	3.2	2.8	3.6	4.4	4	3.2	2.8	4.4	4.8	4.4	3.6
4	3.6	3.6	3.6	4	3.2	3.2	3.2	3.6	4	3.6	3.6	2.8	4	4.4	4.4	3.6
4	3.6	3.6	4	3.6	3.2	3.2	3.6	3.6	3.6	3.2	3.6	3.2	3.6	3.6	4	3.6
4	3.6	4	4	3.6	3.2	3.6	4	3.6	3.2	3.2	4	3.6	3.6	3.6	4	4
4	4	4.4	4.4	3.6	3.2	4	4.4	4	3.2	3.2	4.4	4.4	3.6	3.2	4	4.4
4	4.4	4.8	4.8	3.6	3.2	4.4	4.8	4.4	3.2	3.2	4.8	4.8	3.6	3.2	4	4.8
4	4.8	5.6	5.2	3.6	3.2	4.8	5.2	4.4	2.8	3.6	5.2	5.2	3.6	3.2	4	5.2
4	5.2	6	5.2	3.6	3.6	5.2	5.6	4.8	2.8	3.6	5.2	6	3.6	3.2	4	5.2
4.4	5.2	6	5.2	3.6	3.6	5.2	5.6	5.2	2.8	3.6	5.2	6	3.6	3.2	4	5.2
4.8	5.6	6	5.2	3.6	3.6	5.2	5.6	5.2	2.8	3.6	5.2	6	3.6	3.2	4	5.2
5.2	5.2	5.6	4.8	3.2	3.6	4.8	5.2	4.8	2.8	3.6	4.8	5.6	3.6	2.8	4	5.2
6	4.8	5.2	4.8	3.2	3.2	4.4	4.8	4.4	2.8	3.2	4.4	5.2	3.6	2.8	3.6	4.8
7.6	4.4	4.8	4.4	3.2	2.8	3.6	4.4	3.6	2.8	3.2	4	4.4	3.2	2.8	3.6	4.4
8.8	4	4.4	4	3.2	2.8	3.2	3.6	3.2	2.8	3.2	3.6	4	3.2	2.8	3.6	4
10	3.6	4	3.6	3.2	2.8	3.2	3.2	3.2	2.8	2.8	3.2	3.6	3.2	2.8	3.6	3.6
10.8	3.6	3.6	3.6	3.2	2.8	2.8	2.8	3.2	2.8	2.8	3.2	3.2	3.2	2.8	3.6	3.2
11.2	3.2	3.2	3.6	3.2	2.8	2.8	2.8	2.8	3.2	2.8	3.2	2.8	3.2	3.2	3.6	3.2
10.8	3.2	3.2	3.6	3.6	3.2	2.8	2.8	2.8	3.6	3.2	3.2	2.8	3.6	3.6	4	3.2
10	3.2	3.2	3.6	4	3.6	2.8	2.8	2.8	4.4	3.6	3.2	2.8	4	4.4	4.4	3.2
9.2	3.2	3.2	3.6	4.4	4	2.8	2.8	2.8	4.8	4	3.2	2.8	4.4	4.8	4.4	3.2
8	3.2	3.2	3.6	4.4	4.4	2.8	2.8	3.2	5.2	4.4	3.2	2.8	4.8	4.8	4.4	3.2
6.8	3.6	3.2	3.6	4.4	4.4	2.8	2.8	3.2	5.6	4.4	3.2	2.8	4.8	5.2	4.4	3.2
6	3.6	3.2	3.6	4.4	4.4	2.8	2.8	3.2	5.6	4.4	3.2	2.8	4.8	5.2	4.4	3.2
5.2	3.6	3.2	3.6	4.4	4.4	2.8	2.8	3.2	5.2	4.4	3.2	2.8	4.8	5.2	4.4	3.2
4.8	3.6	3.2	3.6	4.4	4.4	2.8	2.8	3.2	4.8	4	3.2	2.8	4.8	5.2	4.4	3.2
4.4	3.6	3.2	3.6	4.4	4	2.8	2.8	3.2	4.4	3.6	3.2	2.8	4.4	4.8	4.4	3.6
4	3.6	3.2	3.6	4	3.6	2.8	2.8	3.2	4	3.6	3.2	2.8	4.4	4.4	4	3.6
4	3.6	3.6	4	3.6	3.2	3.2	3.2	3.2	3.6	3.6	3.2	3.2	4	4	4	3.6
4	3.6	3.6	4	3.6	3.2	3.2	3.6	3.6	3.2	3.6	3.6	3.6	3.6	3.6	3.6	3.6
4	3.6	4	4	3.2	3.2	3.6	4	4	3.2	3.6	3.6	3.6	3.6	3.6	3.6	4
4	4	4.4	4	3.2	3.2	4	4.4	4	3.2	3.6	4	4	3.6	3.2	3.6	4.4
4	4.4	4.8	4.4	3.2	3.2	4.4	4.8	4.4	3.2	3.6	4.4	4.8	3.6	3.2	3.6	4.8
4	4.8	5.2	4.8	3.2	3.2	4.8	5.2	4.4	2.8	3.6	4.8	5.2	3.6	3.2	3.6	5.2
4.4	5.2	5.6	5.2	3.2	3.6	4.8	5.2	4.8	2.8	3.6	5.2	5.6	3.6	2.8	3.6	5.2
4.8	5.2	5.6	5.2	3.2	3.6	5.2	5.2	4.8	2.8	3.6	5.2	5.6	3.6	2.8	3.6	5.2
6	5.6	5.6	5.2	3.6	3.6	5.2	5.2	5.2	3.2	3.6	5.2	5.6	3.6	2.8	3.6	5.2
6.4	5.2	5.2	4.8	3.2	3.2	4.8	4.8	4.4	2.8	3.2	4.8	5.2	3.6	2.8	3.6	4.8
7.6	4.8	4.8	4.4	3.2	3.2	4	4.4	4	2.8	3.2	4.4	4.4	3.6	2.8	3.6	4.4
8.4	4	4.4	4	3.2	2.8	3.6	3.6	3.6	2.8	3.2	3.6	4	3.2	2.8	3.2	4
9.6	3.6	4	3.6	3.2	2.8	3.2	3.2	3.2	2.8	2.8	3.2	3.6	3.2	2.8	3.2	3.6
10	3.2	3.6	3.2	3.2	2.8	2.8	2.8	2.8	2.8	2.8	2.8	3.2	3.2	2.8	3.2	3.2
10	3.2	3.2	3.2	3.2	2.8	2.8	2.8	2.8	2.8	2.8	2.8	3.2	3.2	3.2	3.2	3.2
9.6	3.2	3.2	3.2	3.2	2.8	2.8	2.8	2.8	3.2	2.8	2.8	2.8	3.6	3.6	3.6	3.2
9.2	3.2	3.2	3.2	3.6	3.2	2.8	2.8	2.8	3.6	3.2	2.8	2.8	4	4.4	3.6	3.2
8	3.2	3.2	3.2	4	3.6	2.8	2.8	2.8	4.4	3.6	2.8	2.8	4.4	4.8	4	3.2
7.2	3.2	3.2	3.2	4.4	4	2.8	2.8	3.2	4.8	4	2.8	2.8	4.8	5.2	4.4	3.2
6.4	3.2	3.2	3.2	4.4	4	2.8	2.8	3.2	5.2	4	2.8	2.8	4.8	5.2	4.4	3.2
5.6	3.2	3.2	3.2	4.4	4.4	2.8	2.8	3.2	5.2	4	2.8	2.8	4.8	5.2	4.4	3.2
4.8	3.2	3.2	3.2	4.4	4	2.8	2.8	3.2	5.2	4	2.8	2.8	4.4	4.8	4.4	3.2
4.4	3.2	3.2	3.2	4.4	3.6	2.8	2.8	3.2	4.8	3.6	2.8	2.8	4.4	4.4	4.4	3.2
4	3.2	3.2	3.2	4	3.2	2.8	2.8	3.2	4.4	3.6	2.8	2.8	4	4	4.4	3.2
4	3.2	3.2	3.6	3.6	3.2	2.8	2.8	3.2	4	3.2	2.8	2.8	3.6	4	4	3.2
3.6	3.2	3.2	3.6	3.6	2.8	2.8	3.2	3.2	3.6	3.2	2.8	2.8	3.6	3.6	3.6	3.2
3.6	3.2	3.6	3.6	3.6	2.8	3.2	3.6	3.6	3.2	3.2	3.2	3.2	3.6	3.2	3.6	3.6
3.6	3.6	4	3.6	3.2	2.8	3.6	4	3.6	2.8	3.2	3.6	3.6	3.6	3.2	3.6	3.6
4	4	4.4	4	3.2	2.8	4	4.4	4	2.8	3.2	4	4	3.6	3.2	3.6	4
4	4.4	4.8	4.4	3.2	2.8	4	4.8	4	2.8	3.2	4.4	4.4	3.6	2.8	3.6	4.4
4	4.8	5.2	4.8	3.2	2.8	4.4	4.8	4.4	2.8	3.2	4.8	4.8	3.6	2.8	3.6	4.8
4.4	5.2	5.2	4.8	3.2	3.2	4.4	5.2	4.4	2.8	3.2	4.8	5.2	3.6	2.8	3.6	4.8
5.2	5.2	5.2	4.8	3.2	3.2	4.4	5.2	4.4	2.8	3.2	4.4	5.2	3.6	2.8	3.6	4.8
6	4.8	4.8	4.4	3.2	3.2	4	4.4	4	2.8	3.2	4	4.8	3.2	2.8	3.6	4.4
6.4	4.4	4.4	4	3.2	2.8	3.6	4	3.6	2.8	3.2	3.6	4.4	2.8	2.8	3.6	4
7.6	4	4	3.6	2.8	2.8	3.2	3.6	3.2	2.8	2.8	3.2	3.6	2.8	2.8	3.2	3.6
8.4	3.6	3.6	3.2	2.8	2.8	3.2	3.2	3.2	2.8	2.8	3.2	3.2	2.8	2.8	3.2	3.2
9.2	3.2	3.2	3.2	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	3.2	3.2
9.2	3.2	3.2	3.2	2.8	2.8	2.8	2.8	2.8	3.2	2.8	2.8	2.8	2.8	2.8	3.2	2.8
8.8	3.2	3.2	3.2	2.8	2.8	2.8	2.8	2.8	3.2	2.8	2.8	2.8	3.2	3.2	3.2	2.8
8.4	3.2	3.2	3.2	3.2	3.2	2.8	2.8	2.8	3.6	3.2	2.8	2.8	3.6	3.6	3.6	2.8
7.6	3.2	3.2	3.2	3.6	3.2	2.8	2.4	2.8	4	3.6	2.8	2.8	4	4.4	4	2.8
6.4	3.2	3.2	3.2	4	3.6	2.8	2.4	2.8	4.4	4	2.8	2.8	4.4	4.8	4	2.8
5.6	3.2	3.2	3.2	4	3.6	2.8	2.4	2.8	4.8	4	2.8	2.8	4.4	4.8	4	2.8
4.8	3.2	3.2	3.2	4	3.6	2.8	2.4	2.8	4.8	4	2.8	2.8	4.4	4.8	4	2.8
4.4	3.2	3.2	3.2	4	3.6	2.8	2.4	2.8	4.4	3.6	2.8	2.8	4.4	4.4	4	2.8
4	3.2	3.2	3.2	3.6	3.6	2.8	2.4	2.8	4.4	3.6	2.8	2.8	4	4.4	4	2.8
3.6	3.2	3.2	3.2	3.6	3.2	2.8	2.4	2.8	4	3.2	2.8	2.8	3.6	4	3.6	2.8
3.6	3.2	3.2	3.2	3.6	3.2	2.8	2.8	2.8	3.6	3.2	2.8	2.8	3.6	3.6	3.6	2.8
